user_id,course_id,interaction_type,interaction
user_324,1070968,enrolled,1
user_252,1070968,complete,1
user_196,1070968,view,1
user_360,1070968,enrolled,1
user_10,1070968,buy,1
user_212,1070968,buy,1
user_278,1070968,complete,1
user_243,1070968,view,1
user_293,1070968,view,1
user_88,1070968,view,1
user_336,1113822,view,1
user_432,1113822,complete,1
user_449,1113822,buy,1
user_339,1113822,view,1
user_100,1113822,view,1
user_473,1113822,enrolled,1
user_178,1113822,view,1
user_244,1113822,buy,1
user_286,1113822,view,1
user_148,1113822,buy,1
user_148,1113822,buy,1
user_399,1113822,buy,1
user_424,1113822,complete,1
user_289,1113822,buy,1
user_450,1113822,view,1
user_322,1006314,enrolled,1
user_488,1006314,buy,1
user_426,1006314,view,1
user_58,1006314,view,1
user_292,1006314,buy,1
user_359,1006314,complete,1
user_120,1006314,buy,1
user_268,1006314,buy,1
user_431,1006314,complete,1
user_83,1006314,buy,1
user_92,1006314,view,1
user_228,1210588,enrolled,1
user_443,1210588,view,1
user_280,1210588,view,1
user_208,1210588,view,1
user_398,1210588,view,1
user_374,1210588,view,1
user_342,1210588,view,1
user_49,1210588,view,1
user_306,1210588,view,1
user_70,1210588,buy,1
user_170,1210588,buy,1
user_164,1210588,view,1
user_449,1210588,buy,1
user_96,1210588,view,1
user_198,1210588,buy,1
user_95,1210588,complete,1
user_257,1210588,view,1
user_370,1210588,buy,1
user_179,1210588,view,1
user_293,1210588,enrolled,1
user_419,1210588,view,1
user_305,1210588,view,1
user_350,1210588,buy,1
user_388,1210588,view,1
user_99,1210588,enrolled,1
user_43,1210588,view,1
user_462,1210588,buy,1
user_369,1210588,view,1
user_488,1210588,enrolled,1
user_406,1210588,complete,1
user_329,1011058,enrolled,1
user_20,1011058,enrolled,1
user_96,1011058,view,1
user_329,1011058,view,1
user_411,1011058,view,1
user_451,1011058,buy,1
user_249,1011058,view,1
user_181,1011058,complete,1
user_324,1011058,view,1
user_493,1011058,view,1
user_318,1011058,view,1
user_271,1011058,view,1
user_353,1011058,complete,1
user_261,1011058,view,1
user_452,1011058,buy,1
user_238,1011058,view,1
user_140,1011058,view,1
user_87,1011058,view,1
user_462,1011058,view,1
user_378,1011058,enrolled,1
user_110,1011058,complete,1
user_332,1011058,view,1
user_185,1011058,buy,1
user_17,1011058,view,1
user_153,1011058,enrolled,1
user_414,1011058,enrolled,1
user_150,1011058,view,1
user_111,1011058,view,1
user_26,1011058,view,1
user_465,1011058,complete,1
user_445,1011058,view,1
user_378,1011058,view,1
user_375,1011058,view,1
user_118,1011058,view,1
user_446,1011058,view,1
user_84,1011058,view,1
user_162,1011058,enrolled,1
user_361,1011058,complete,1
user_417,1011058,enrolled,1
user_229,1011058,view,1
user_252,1011058,view,1
user_122,1011058,view,1
user_327,1011058,view,1
user_470,1011058,view,1
user_288,1011058,view,1
user_14,1011058,enrolled,1
user_328,1011058,complete,1
user_185,1011058,buy,1
user_153,1011058,buy,1
user_80,1011058,enrolled,1
user_377,192870,enrolled,1
user_348,192870,enrolled,1
user_169,192870,view,1
user_373,192870,buy,1
user_293,192870,buy,1
user_177,192870,enrolled,1
user_26,192870,view,1
user_324,192870,view,1
user_360,192870,complete,1
user_292,192870,view,1
user_115,192870,view,1
user_287,192870,enrolled,1
user_30,192870,complete,1
user_242,192870,buy,1
user_290,192870,view,1
user_147,192870,buy,1
user_274,192870,view,1
user_222,192870,view,1
user_341,192870,view,1
user_3,192870,enrolled,1
user_70,192870,buy,1
user_358,192870,view,1
user_397,192870,view,1
user_45,192870,enrolled,1
user_374,192870,view,1
user_254,192870,enrolled,1
user_323,192870,view,1
user_112,192870,complete,1
user_92,192870,view,1
user_342,192870,enrolled,1
user_424,192870,view,1
user_40,192870,enrolled,1
user_460,192870,buy,1
user_151,192870,view,1
user_415,192870,view,1
user_146,192870,enrolled,1
user_199,192870,enrolled,1
user_456,192870,buy,1
user_275,192870,view,1
user_349,192870,view,1
user_44,192870,enrolled,1
user_84,192870,view,1
user_434,192870,enrolled,1
user_298,192870,view,1
user_94,192870,view,1
user_430,739964,view,1
user_344,739964,buy,1
user_450,739964,buy,1
user_327,739964,enrolled,1
user_491,739964,buy,1
user_54,739964,view,1
user_305,739964,view,1
user_95,739964,enrolled,1
user_60,739964,view,1
user_337,739964,enrolled,1
user_155,739964,view,1
user_125,739964,enrolled,1
user_164,739964,view,1
user_59,739964,enrolled,1
user_434,739964,view,1
user_107,739964,enrolled,1
user_202,739964,complete,1
user_301,739964,enrolled,1
user_270,739964,enrolled,1
user_378,739964,complete,1
user_327,739964,enrolled,1
user_39,739964,view,1
user_168,739964,view,1
user_137,739964,view,1
user_14,739964,view,1
user_392,739964,view,1
user_209,739964,view,1
user_23,739964,view,1
user_21,403100,view,1
user_293,403100,view,1
user_325,403100,view,1
user_465,403100,enrolled,1
user_113,403100,complete,1
user_432,403100,view,1
user_139,403100,complete,1
user_238,403100,view,1
user_361,403100,buy,1
user_479,403100,view,1
user_348,403100,enrolled,1
user_370,476268,view,1
user_129,476268,view,1
user_296,476268,view,1
user_25,476268,buy,1
user_187,476268,view,1
user_293,476268,view,1
user_356,476268,view,1
user_326,476268,buy,1
user_135,476268,view,1
user_4,476268,enrolled,1
user_227,476268,view,1
user_214,1167710,view,1
user_476,1167710,view,1
user_109,1167710,view,1
